file,label
c03-096a-04-02.png,c03a
c03-096b-01-03.png,c03b
g06-037r-01-07.png,g06r
g06-018d-02-03.png,g06d
c03-084b-01-04.png,c03b
g06-026o-01-04.png,g06o
g06-037m-10-00.png,g06m
c03-021b-02-04.png,c03b
g06-018b-04-00.png,g06b
c03-021c-02-01.png,c03c
c03-021a-01-04.png,c03a
g06-047j-03-06.png,g06j
c03-081c-03-06.png,c03c
g06-045p-06-00.png,g06p
c03-081a-03-07.png,c03a
g06-105-00-08.png,g065
g06-045a-04-05.png,g06a
g06-047h-01-01.png,g06h
g06-047p-06-00.png,g06p
g06-031j-00-12.png,g06j
g06-031a-07-06.png,g06a
g06-050p-03-09.png,g06p
c03-094d-03-05.png,c03d
g06-050g-02-07.png,g06g
g06-031o-08-04.png,g06o
g06-045a-04-03.png,g06a
g06-018n-04-02.png,g06n
g06-045e-05-07.png,g06e
g06-011l-03-00.png,g06l
g06-050p-01-05.png,g06p
g06-018b-03-05.png,g06b
c03-021c-01-01.png,c03c
g06-047h-05-09.png,g06h
g06-011p-04-01.png,g06p
g06-045f-01-08.png,g06f
g06-026h-05-06.png,g06h
g06-045j-04-04.png,g06j
g06-026b-01-07.png,g06b
g06-037p-00-09.png,g06p
g06-011c-05-06.png,g06c
g06-047f-05-02.png,g06f
g06-037h-01-09.png,g06h
g06-018o-05-06.png,g06o
g06-050r-03-08.png,g06r
c03-003b-06-00.png,c03b
g06-011k-06-09.png,g06k
c03-021d-00-05.png,c03d
g06-018l-04-07.png,g06l
g06-026c-04-05.png,g06c
g06-011k-01-04.png,g06k
c03-081f-00-01.png,c03f
g06-026l-00-11.png,g06l
g06-101-01-04.png,g061
c03-094d-10-03.png,c03d
c03-081a-09-00.png,c03a
c03-084b-03-01.png,c03b
g06-026o-04-04.png,g06o
c03-081c-01-00.png,c03c
g06-026r-02-02.png,g06r
c03-007e-04-03.png,c03e
g06-037i-07-06.png,g06i
g06-050c-04-06.png,g06c
g06-011l-06-11.png,g06l
g06-011n-10-07.png,g06n
c03-021a-04-09.png,c03a
g06-037l-03-07.png,g06l
g06-011f-01-08.png,g06f
g06-042m-00-05.png,g06m
g06-026n-03-06.png,g06n
g06-026h-05-03.png,g06h
c03-087f-01-04.png,c03f
c03-096f-03-05.png,c03f
g06-047p-01-01.png,g06p
c03-081f-02-01.png,c03f
g06-037r-02-10.png,g06r
c03-016c-03-03.png,c03c
g06-045n-02-05.png,g06n
c03-094b-06-01.png,c03b
g06-031f-03-12.png,g06f
g06-093-06-02.png,g063
c03-000c-06-02.png,c03c
g06-042r-04-00.png,g06r
g06-037r-03-09.png,g06r
g06-047g-01-08.png,g06g
c03-087f-05-04.png,c03f
g06-050p-06-09.png,g06p
g06-045e-02-00.png,g06e
g06-011m-08-01.png,g06m
